

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
6,1,($241.50),$618.00,
7,1,($296.57),$1266.00,
10,1,($81.60),$222.00,
11,1,($109.64),$450.00,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Sell Short,01/08/2016 22:10,SE,$2100.1,$0.00,3,($189.00),-0.30%,$15.00,7.35%,,$0.00,$0.00
,Buy to Cover,02/08/2016 03:10,LE,$2106.4,,($189.00),($189.00),,($189.00),0.00%,-92.65%,$0.00,$0.00
2,Buy,02/08/2016 03:10,LE,$2106.4,$0.00,3,$309.00,0.49%,$405.00,100.00%,,$0.00,$0.00
,Sell,02/08/2016 17:00,LX,$2116.7,,$309.00,$120.00,,$0.00,76.30%,76.30%,$0.00,$0.00
3,Sell Short,05/08/2016 08:40,SE,$2100.4,$0.00,3,$372.00,0.59%,$420.00,82.35%,,$0.00,$0.00
,Buy to Cover,05/08/2016 17:00,SX,$2088.0,,$372.00,$492.00,,($90.00),90.59%,72.94%,$0.00,$0.00
4,Sell Short,09/08/2016 03:15,SE,$2082.3,$0.00,3,($186.00),-0.30%,$9.00,4.62%,,$0.00,$0.00
,Buy to Cover,09/08/2016 09:20,LE,$2088.5,,($186.00),$306.00,,($186.00),0.00%,-95.38%,$0.00,$0.00
5,Buy,09/08/2016 09:20,LE,$2088.5,$0.00,3,$93.00,0.15%,$174.00,90.63%,,$0.00,$0.00
,Sell,09/08/2016 17:00,LX,$2091.6,,$93.00,$399.00,,($18.00),57.81%,48.44%,$0.00,$0.00
6,Buy,09/08/2016 23:50,LE,$2101.1,$0.00,3,($378.00),-0.60%,$240.00,38.83%,,$0.00,$0.00
,Sell,11/08/2016 15:15,Stop Loss,$2088.5,,($378.00),$21.00,,($378.00),0.00%,-61.17%,$0.00,$0.00
7,Buy,12/08/2016 08:40,LE,$2104.0,$0.00,3,($378.00),-0.60%,$123.00,24.55%,,$0.00,$0.00
,Sell,12/08/2016 12:30,Stop Loss,$2091.4,,($378.00),($357.00),,($378.00),0.00%,-75.45%,$0.00,$0.00
8,Sell Short,12/08/2016 12:50,SE,$2087.8,$0.00,3,$12.00,0.02%,$105.00,59.32%,,$0.00,$0.00
,Buy to Cover,12/08/2016 17:00,SX,$2087.4,,$12.00,($345.00),,($72.00),47.46%,6.78%,$0.00,$0.00
9,Buy,16/08/2016 00:05,LE,$2097.0,$0.00,3,$0.00,0.00%,$444.00,94.27%,,$0.00,$0.00
,Sell,16/08/2016 08:45,BreakEven Stop,$2097.0,,$0.00,($345.00),,($27.00),5.73%,0.00%,$0.00,$0.00
10,Buy,16/08/2016 08:45,LE,$2097.0,$0.00,3,($24.00),-0.04%,$177.00,55.66%,,$0.00,$0.00
,Sell,16/08/2016 18:05,LX,$2096.2,,($24.00),($369.00),,($141.00),36.79%,-7.55%,$0.00,$0.00
11,Sell Short,19/08/2016 05:30,SE,$2096.6,$0.00,3,$159.00,0.25%,$264.00,74.58%,,$0.00,$0.00
