

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Largest Profit/Loss as % of Gross,,3.41%,4.04%,
Largest Consec. Profit/Loss,,$871.25,($1617.50),
Largest Consec. Profit/Loss as % of Gross,,5.21%,11.01%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,62,$126.63,($57.02),
2,16,$158.28,($78.13),
3,6,$166.46,($84.38),
4,2,$102.03,($35.00),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,32,($47.81),$138.44,
2,17,($65.15),$127.28,
3,10,($49.54),$114.63,
4,9,($43.09),$93.75,
5,3,($94.67),$75.42,
6,8,($42.08),$137.50,
7,5,($69.46),$176.25,
8,2,($109.61),$69.38,
9,1,($30.83),$146.25,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Sell Short,01/08/2016 09:00,Es,$2919.00,$0.00,1,($7.50),-0.05%,$6.25,45.45%,,$0.00,$0.00
,Buy to Cover,01/08/2016 09:15,Cover,$2920.50,,($7.50),($7.50),,($7.50),0.00%,-54.55%,$0.00,$0.00
2,Sell Short,02/08/2016 09:00,Es,$2914.25,$0.00,1,$40.00,0.27%,$90.00,94.74%,,$0.00,$0.00
,Buy to Cover,02/08/2016 15:00,EoDS,$2906.25,,$40.00,$32.50,,($5.00),47.37%,42.11%,$0.00,$0.00
3,Sell Short,10/08/2016 14:00,Es,$2923.25,$0.00,1,($2.50),-0.02%,$1.25,16.67%,,$0.00,$0.00
,Buy to Cover,10/08/2016 14:15,Cover,$2923.75,,($2.50),$30.00,,($6.25),50.00%,-33.33%,$0.00,$0.00
4,Sell Short,24/08/2016 10:15,Es,$2935.00,$0.00,1,($1.25),-0.01%,$5.00,57.14%,,$0.00,$0.00
,Buy to Cover,24/08/2016 10:45,Cover,$2935.25,,($1.25),$28.75,,($3.75),28.57%,-14.29%,$0.00,$0.00
5,Sell Short,25/08/2016 13:45,Es,$2924.50,$0.00,1,($5.00),-0.03%,$1.25,16.67%,,$0.00,$0.00
,Buy to Cover,25/08/2016 14:00,Cover,$2925.50,,($5.00),$23.75,,($6.25),16.67%,-66.67%,$0.00,$0.00
6,Sell Short,26/08/2016 11:30,Es,$2919.00,$0.00,1,($15.00),-0.10%,$33.75,52.94%,,$0.00,$0.00
,Buy to Cover,26/08/2016 15:00,EoDS,$2922.00,,($15.00),$8.75,,($30.00),23.53%,-23.53%,$0.00,$0.00
7,Sell Short,30/08/2016 11:00,Es,$2927.75,$0.00,1,($8.75),-0.06%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,30/08/2016 11:15,Cover,$2929.50,,($8.75),$0.00,,($10.00),12.50%,-87.50%,$0.00,$0.00
8,Sell Short,31/08/2016 10:00,Es,$2922.50,$0.00,1,($8.75),-0.06%,$41.25,75.00%,,$0.00,$0.00
,Buy to Cover,31/08/2016 15:00,Cover,$2924.25,,($8.75),($8.75),,($13.75),9.09%,-15.91%,$0.00,$0.00
9,Sell Short,01/09/2016 09:45,Es,$2915.25,$0.00,1,($26.25),-0.18%,$28.75,48.94%,,$0.00,$0.00
,Buy to Cover,01/09/2016 11:45,Cover,$2920.50,,($26.25),($35.00),,($30.00),6.38%,-44.68%,$0.00,$0.00
10,Sell Short,09/09/2016 09:00,Es,$2917.00,$0.00,1,$146.25,1.00%,$150.00,96.00%,,$0.00,$0.00
,Buy to Cover,09/09/2016 15:00,EoDS,$2887.75,,$146.25,$111.25,,($6.25),97.60%,93.60%,$0.00,$0.00
11,Sell Short,13/09/2016 09:00,Es,$2895.50,$0.00,1,$78.75,0.54%,$110.00,94.62%,,$0.00,$0.00
,Buy to Cover,13/09/2016 15:00,EoDS,$2879.75,,$78.75,$190.00,,($6.25),73.12%,67.74%,$0.00,$0.00
12,Sell Short,26/09/2016 13:00,Es,$2899.25,$0.00,1,($10.00),-0.07%,$1.25,7.69%,,$0.00,$0.00
,Buy to Cover,26/09/2016 13:30,Cover,$2901.25,,($10.00),$180.00,,($15.00),30.77%,-61.54%,$0.00,$0.00
13,Sell Short,29/09/2016 12:15,Es,$2908.00,$0.00,1,($20.00),-0.14%,$47.50,66.67%,,$0.00,$0.00
,Buy to Cover,29/09/2016 13:45,Cover,$2912.00,,($20.00),$160.00,,($23.75),5.26%,-28.07%,$0.00,$0.00
14,Sell Short,04/10/2016 12:45,Es,$2902.00,$0.00,1,($1.25),-0.01%,$5.00,33.33%,,$0.00,$0.00
,Buy to Cover,04/10/2016 13:00,Cover,$2902.25,,($1.25),$158.75,,($10.00),58.33%,-8.33%,$0.00,$0.00
15,Sell Short,07/10/2016 11:00,Es,$2902.25,$0.00,1,($38.75),-0.27%,$15.00,25.00%,,$0.00,$0.00
,Buy to Cover,07/10/2016 13:00,Cover,$2910.00,,($38.75),$120.00,,($45.00),10.42%,-64.58%,$0.00,$0.00
16,Sell Short,11/10/2016 09:00,Es,$2909.25,$0.00,1,$88.75,0.61%,$131.25,98.13%,,$0.00,$0.00
,Buy to Cover,11/10/2016 15:00,EoDS,$2891.50,,$88.75,$208.75,,($2.50),68.22%,66.36%,$0.00,$0.00
17,Sell Short,13/10/2016 09:00,Es,$2876.00,$0.00,1,($46.25),-0.32%,$35.00,40.58%,,$0.00,$0.00
,Buy to Cover,13/10/2016 12:00,Cover,$2885.25,,($46.25),$162.50,,($51.25),5.80%,-53.62%,$0.00,$0.00
18,Sell Short,21/10/2016 09:00,Es,$2886.25,$0.00,1,($12.50),-0.09%,$6.25,27.78%,,$0.00,$0.00
,Buy to Cover,21/10/2016 09:15,Cover,$2888.75,,($12.50),$150.00,,($16.25),16.67%,-55.56%,$0.00,$0.00
19,Sell Short,26/10/2016 09:15,Es,$2888.50,$0.00,1,($27.50),-0.19%,$7.50,17.14%,,$0.00,$0.00
,Buy to Cover,26/10/2016 10:00,Cover,$2894.00,,($27.50),$122.50,,($36.25),20.00%,-62.86%,$0.00,$0.00
20,Sell Short,28/10/2016 13:15,Es,$2875.50,$0.00,1,($17.50),-0.12%,$8.75,31.82%,,$0.00,$0.00
,Buy to Cover,28/10/2016 13:30,Cover,$2879.00,,($17.50),$105.00,,($18.75),4.55%,-63.64%,$0.00,$0.00
21,Sell Short,01/11/2016 10:00,Es,$2875.75,$0.00,1,($12.50),-0.09%,$7.50,35.29%,,$0.00,$0.00
,Buy to Cover,01/11/2016 10:15,Cover,$2878.25,,($12.50),$92.50,,($13.75),5.88%,-58.82%,$0.00,$0.00
22,Sell Short,02/11/2016 12:30,Es,$2855.00,$0.00,1,($7.50),-0.05%,$8.75,41.18%,,$0.00,$0.00
,Buy to Cover,02/11/2016 13:15,Cover,$2856.50,,($7.50),$85.00,,($12.50),23.53%,-35.29%,$0.00,$0.00
23,Sell Short,28/12/2016 11:30,Es,$3016.25,$0.00,1,$28.75,0.19%,$31.25,89.29%,,$0.00,$0.00
,Buy to Cover,28/12/2016 15:00,EoDS,$3010.50,,$28.75,$113.75,,($3.75),92.86%,82.14%,$0.00,$0.00
24,Sell Short,30/12/2016 09:45,Es,$3003.75,$0.00,1,($5.00),-0.03%,$1.25,9.09%,,$0.00,$0.00
,Buy to Cover,30/12/2016 10:00,Cover,$3004.75,,($5.00),$108.75,,($12.50),54.55%,-36.36%,$0.00,$0.00
25,Sell Short,05/01/2017 11:00,Es,$3021.00,$0.00,1,($8.75),-0.06%,$2.50,20.00%,,$0.00,$0.00
,Buy to Cover,05/01/2017 11:15,Cover,$3022.75,,($8.75),$100.00,,($10.00),10.00%,-70.00%,$0.00,$0.00
26,Sell Short,12/01/2017 09:15,Es,$3025.75,$0.00,1,($3.75),-0.02%,$53.75,82.69%,,$0.00,$0.00
,Buy to Cover,12/01/2017 12:45,Cover,$3026.50,,($3.75),$96.25,,($11.25),11.54%,-5.77%,$0.00,$0.00
27,Sell Short,17/01/2017 09:15,Es,$3027.50,$0.00,1,($17.50),-0.12%,$6.25,21.74%,,$0.00,$0.00
,Buy to Cover,17/01/2017 09:30,Cover,$3031.00,,($17.50),$78.75,,($22.50),17.39%,-60.87%,$0.00,$0.00
28,Sell Short,19/01/2017 13:30,Es,$3021.50,$0.00,1,($10.00),-0.07%,$10.00,44.44%,,$0.00,$0.00
,Buy to Cover,19/01/2017 13:45,Cover,$3023.50,,($10.00),$68.75,,($12.50),11.11%,-44.44%,$0.00,$0.00
29,Sell Short,23/01/2017 09:45,Es,$3025.00,$0.00,1,($16.25),-0.11%,$33.75,64.29%,,$0.00,$0.00
,Buy to Cover,23/01/2017 15:00,Cover,$3028.25,,($16.25),$52.50,,($18.75),4.76%,-30.95%,$0.00,$0.00
30,Sell Short,30/01/2017 09:00,Es,$3039.50,$0.00,1,$1.25,0.01%,$48.75,92.86%,,$0.00,$0.00
,Buy to Cover,30/01/2017 15:00,EoDS,$3039.25,,$1.25,$53.75,,($3.75),9.52%,2.38%,$0.00,$0.00
31,Sell Short,31/01/2017 11:15,Es,$3030.50,$0.00,1,($10.00),-0.07%,$1.25,9.09%,,$0.00,$0.00
,Buy to Cover,31/01/2017 11:30,Cover,$3032.50,,($10.00),$43.75,,($12.50),18.18%,-72.73%,$0.00,$0.00
32,Sell Short,14/03/2017 09:15,Es,$3131.00,$0.00,1,$0.00,0.00%,$33.75,84.38%,,$0.00,$0.00
,Buy to Cover,14/03/2017 10:45,Cover,$3131.00,,$0.00,$43.75,,($6.25),15.63%,0.00%,$0.00,$0.00
