

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
,Buy to Cover,01/08/2018 12:30,Cover,$3574.25,,($15.00),$538.75,,($18.75),15.00%,-60.00%,$0.00,$0.00
80,Sell Short,10/08/2018 09:15,Es,$3596.75,$0.00,1,($15.00),-0.08%,$13.75,45.83%,,$0.00,$0.00
,Buy to Cover,10/08/2018 09:30,Cover,$3599.75,,($15.00),$523.75,,($16.25),4.17%,-50.00%,$0.00,$0.00
81,Sell Short,15/08/2018 09:00,Es,$3585.25,$0.00,1,$16.25,0.09%,$101.25,98.78%,,$0.00,$0.00
,Buy to Cover,15/08/2018 15:00,EoDS,$3582.00,,$16.25,$540.00,,($1.25),17.07%,15.85%,$0.00,$0.00
82,Sell Short,04/10/2018 09:00,Es,$3675.75,$0.00,1,$87.50,0.48%,$155.00,91.85%,,$0.00,$0.00
,Buy to Cover,04/10/2018 15:00,EoDS,$3658.25,,$87.50,$627.50,,($13.75),60.00%,51.85%,$0.00,$0.00
83,Sell Short,05/10/2018 10:45,Es,$3650.00,$0.00,1,$12.50,0.07%,$98.75,92.94%,,$0.00,$0.00
,Buy to Cover,05/10/2018 15:00,EoDS,$3647.50,,$12.50,$640.00,,($7.50),18.82%,11.76%,$0.00,$0.00
84,Sell Short,08/10/2018 11:00,Es,$3628.75,$0.00,1,($53.75),-0.30%,$28.75,28.75%,,$0.00,$0.00
,Buy to Cover,08/10/2018 13:30,Cover,$3639.50,,($53.75),$586.25,,($71.25),17.50%,-53.75%,$0.00,$0.00
85,Sell Short,10/10/2018 09:15,Es,$3615.25,$0.00,1,$267.50,1.48%,$286.25,94.24%,,$0.00,$0.00
,Buy to Cover,10/10/2018 15:00,EoDS,$3561.75,,$267.50,$853.75,,($17.50),93.83%,88.07%,$0.00,$0.00
86,Sell Short,11/10/2018 10:30,Es,$3506.50,$0.00,1,($61.25),-0.35%,$5.00,5.41%,,$0.00,$0.00
,Buy to Cover,11/10/2018 10:45,Cover,$3518.75,,($61.25),$792.50,,($87.50),28.38%,-66.22%,$0.00,$0.00
87,Sell Short,23/10/2018 09:30,Es,$3454.00,$0.00,1,($23.75),-0.14%,$23.75,39.58%,,$0.00,$0.00
,Buy to Cover,23/10/2018 10:00,Cover,$3458.75,,($23.75),$768.75,,($36.25),20.83%,-39.58%,$0.00,$0.00
88,Sell Short,26/10/2018 10:15,Es,$3385.75,$0.00,1,($57.50),-0.34%,$6.25,8.33%,,$0.00,$0.00
,Buy to Cover,26/10/2018 10:30,Cover,$3397.25,,($57.50),$711.25,,($68.75),15.00%,-76.67%,$0.00,$0.00
89,Sell Short,19/11/2018 10:45,Es,$3464.25,$0.00,1,$98.75,0.57%,$128.75,98.10%,,$0.00,$0.00
,Buy to Cover,19/11/2018 15:00,EoDS,$3444.50,,$98.75,$810.00,,($2.50),77.14%,75.24%,$0.00,$0.00
90,Sell Short,20/11/2018 09:00,Es,$3417.00,$0.00,1,($33.75),-0.20%,$131.25,76.09%,,$0.00,$0.00
,Buy to Cover,20/11/2018 10:15,Cover,$3423.75,,($33.75),$776.25,,($41.25),4.35%,-19.57%,$0.00,$0.00
91,Sell Short,04/12/2018 11:30,Es,$3498.25,$0.00,1,$196.25,1.12%,$212.50,92.90%,,$0.00,$0.00
,Buy to Cover,04/12/2018 15:00,EoDS,$3459.00,,$196.25,$972.50,,($16.25),92.90%,85.79%,$0.00,$0.00
92,Sell Short,06/12/2018 09:15,Es,$3405.25,$0.00,1,($56.25),-0.33%,$135.00,68.35%,,$0.00,$0.00
,Buy to Cover,06/12/2018 11:45,Cover,$3416.50,,($56.25),$916.25,,($62.50),3.16%,-28.48%,$0.00,$0.00
93,Sell Short,07/12/2018 13:15,Es,$3397.75,$0.00,1,$12.50,0.07%,$87.50,61.40%,,$0.00,$0.00
,Buy to Cover,07/12/2018 15:00,EoDS,$3395.25,,$12.50,$928.75,,($55.00),47.37%,8.77%,$0.00,$0.00
94,Sell Short,28/01/2019 09:15,Es,$3384.50,$0.00,1,($27.50),-0.16%,$25.00,44.44%,,$0.00,$0.00
,Buy to Cover,28/01/2019 09:45,Cover,$3390.00,,($27.50),$901.25,,($31.25),6.67%,-48.89%,$0.00,$0.00
95,Sell Short,07/02/2019 11:15,Es,$3441.00,$0.00,1,($33.75),-0.20%,$12.50,20.41%,,$0.00,$0.00
,Buy to Cover,07/02/2019 12:30,Cover,$3447.75,,($33.75),$867.50,,($48.75),24.49%,-55.10%,$0.00,$0.00
96,Sell Short,04/03/2019 11:00,Es,$3538.50,$0.00,1,($12.50),-0.07%,$90.00,84.71%,,$0.00,$0.00
,Buy to Cover,04/03/2019 13:45,Cover,$3541.00,,($12.50),$855.00,,($16.25),3.53%,-11.76%,$0.00,$0.00
97,Sell Short,06/03/2019 10:00,Es,$3531.25,$0.00,1,($10.00),-0.06%,$5.00,21.05%,,$0.00,$0.00
,Buy to Cover,06/03/2019 10:15,Cover,$3533.25,,($10.00),$845.00,,($18.75),36.84%,-42.11%,$0.00,$0.00
98,Sell Short,07/03/2019 09:00,Es,$3510.00,$0.00,1,$57.50,0.33%,$93.75,83.33%,,$0.00,$0.00
,Buy to Cover,07/03/2019 15:00,EoDS,$3498.50,,$57.50,$902.50,,($18.75),67.78%,51.11%,$0.00,$0.00
99,Sell Short,08/03/2019 09:00,Es,$3478.25,$0.00,1,($57.50),-0.33%,$21.25,23.29%,,$0.00,$0.00
,Buy to Cover,08/03/2019 15:00,Cover,$3489.75,,($57.50),$845.00,,($70.00),13.70%,-63.01%,$0.00,$0.00
100,Sell Short,22/03/2019 10:15,Es,$3575.25,$0.00,1,$93.75,0.52%,$106.25,83.33%,,$0.00,$0.00
,Buy to Cover,22/03/2019 15:00,EoDS,$3556.50,,$93.75,$938.75,,($21.25),90.20%,73.53%,$0.00,$0.00
101,Sell Short,27/03/2019 11:00,Es,$3540.25,$0.00,1,($16.25),-0.09%,$5.00,17.39%,,$0.00,$0.00
,Buy to Cover,27/03/2019 11:15,Cover,$3543.50,,($16.25),$922.50,,($23.75),26.09%,-56.52%,$0.00,$0.00
102,Sell Short,02/05/2019 11:00,Es,$3653.50,$0.00,1,($16.25),-0.09%,$25.00,55.56%,,$0.00,$0.00
,Buy to Cover,02/05/2019 11:45,Cover,$3656.75,,($16.25),$906.25,,($20.00),8.33%,-36.11%,$0.00,$0.00
103,Sell Short,06/05/2019 09:00,Es,$3658.00,$0.00,1,($123.75),-0.68%,$26.25,17.21%,,$0.00,$0.00
,Buy to Cover,06/05/2019 14:15,Cover,$3682.75,,($123.75),$782.50,,($126.25),1.64%,-81.15%,$0.00,$0.00
104,Sell Short,07/05/2019 09:00,Es,$3656.00,$0.00,1,$178.75,0.98%,$230.00,96.34%,,$0.00,$0.00
,Buy to Cover,07/05/2019 15:00,EoDS,$3620.25,,$178.75,$961.25,,($8.75),78.53%,74.87%,$0.00,$0.00
105,Sell Short,09/05/2019 09:00,Es,$3598.25,$0.00,1,($80.00),-0.44%,$72.50,37.66%,,$0.00,$0.00
,Buy to Cover,09/05/2019 12:15,Cover,$3614.25,,($80.00),$881.25,,($120.00),20.78%,-41.56%,$0.00,$0.00
106,Sell Short,10/05/2019 10:00,Es,$3581.75,$0.00,1,($88.75),-0.50%,$41.25,30.56%,,$0.00,$0.00
,Buy to Cover,10/05/2019 11:45,Cover,$3599.50,,($88.75),$792.50,,($93.75),3.70%,-65.74%,$0.00,$0.00
107,Sell Short,13/05/2019 09:00,Es,$3580.50,$0.00,1,$125.00,0.70%,$156.25,92.59%,,$0.00,$0.00
,Buy to Cover,13/05/2019 15:00,EoDS,$3555.50,,$125.00,$917.50,,($12.50),81.48%,74.07%,$0.00,$0.00
108,Sell Short,23/05/2019 09:00,Es,$3568.50,$0.00,1,$26.25,0.15%,$77.50,66.67%,,$0.00,$0.00
,Buy to Cover,23/05/2019 15:00,EoDS,$3563.25,,$26.25,$943.75,,($38.75),55.91%,22.58%,$0.00,$0.00
109,Sell Short,29/05/2019 10:30,Es,$3528.50,$0.00,1,($23.75),-0.13%,$73.75,69.41%,,$0.00,$0.00
,Buy to Cover,29/05/2019 15:00,Cover,$3533.25,,($23.75),$920.00,,($32.50),8.24%,-22.35%,$0.00,$0.00
110,Sell Short,31/05/2019 09:00,Es,$3501.50,$0.00,1,($37.50),-0.21%,$15.00,22.64%,,$0.00,$0.00
,Buy to Cover,31/05/2019 10:15,Cover,$3509.00,,($37.50),$882.50,,($51.25),20.75%,-56.60%,$0.00,$0.00
111,Sell Short,25/07/2019 09:15,Es,$3750.75,$0.00,1,($12.50),-0.07%,$3.75,15.79%,,$0.00,$0.00
,Buy to Cover,25/07/2019 09:30,Cover,$3753.25,,($12.50),$870.00,,($20.00),31.58%,-52.63%,$0.00,$0.00
112,Sell Short,31/07/2019 14:00,Es,$3736.25,$0.00,1,($7.50),-0.04%,$175.00,84.85%,,$0.00,$0.00
,Buy to Cover,31/07/2019 15:00,EoDS,$3737.75,,($7.50),$862.50,,($31.25),11.52%,-3.64%,$0.00,$0.00
113,Sell Short,01/08/2019 13:30,Es,$3707.75,$0.00,1,$23.75,0.13%,$98.75,94.05%,,$0.00,$0.00
,Buy to Cover,01/08/2019 15:00,EoDS,$3703.00,,$23.75,$886.25,,($6.25),28.57%,22.62%,$0.00,$0.00
114,Sell Short,02/08/2019 09:15,Es,$3677.50,$0.00,1,($13.75),-0.07%,$103.75,65.87%,,$0.00,$0.00
,Buy to Cover,02/08/2019 15:00,Cover,$3680.25,,($13.75),$872.50,,($53.75),25.40%,-8.73%,$0.00,$0.00
115,Sell Short,05/08/2019 09:00,Es,$3619.50,$0.00,1,$133.75,0.74%,$276.25,95.26%,,$0.00,$0.00
,Buy to Cover,05/08/2019 15:00,EoDS,$3592.75,,$133.75,$1006.25,,($13.75),50.86%,46.12%,$0.00,$0.00
116,Sell Short,14/08/2019 10:15,Es,$3611.25,$0.00,1,$112.50,0.62%,$142.50,93.44%,,$0.00,$0.00
,Buy to Cover,14/08/2019 15:00,EoDS,$3588.75,,$112.50,$1118.75,,($10.00),80.33%,73.77%,$0.00,$0.00
117,Sell Short,23/08/2019 10:30,Es,$3626.50,$0.00,1,$177.50,0.98%,$181.25,82.86%,,$0.00,$0.00
,Buy to Cover,23/08/2019 15:00,EoDS,$3591.00,,$177.50,$1296.25,,($37.50),98.29%,81.14%,$0.00,$0.00
118,Sell Short,24/09/2019 11:45,Es,$3715.75,$0.00,1,$53.75,0.29%,$77.50,72.94%,,$0.00,$0.00
,Buy to Cover,24/09/2019 15:00,EoDS,$3705.00,,$53.75,$1350.00,,($28.75),77.65%,50.59%,$0.00,$0.00
119,Sell Short,26/09/2019 10:45,Es,$3710.50,$0.00,1,($17.50),-0.09%,$16.25,41.94%,,$0.00,$0.00
,Buy to Cover,26/09/2019 11:30,Cover,$3714.00,,($17.50),$1332.50,,($22.50),12.90%,-45.16%,$0.00,$0.00
120,Sell Short,27/09/2019 12:15,Es,$3700.50,$0.00,1,$2.50,0.01%,$63.75,62.96%,,$0.00,$0.00
,Buy to Cover,27/09/2019 15:00,EoDS,$3700.00,,$2.50,$1335.00,,($37.50),39.51%,2.47%,$0.00,$0.00
121,Sell Short,01/10/2019 09:30,Es,$3708.75,$0.00,1,($21.25),-0.11%,$17.50,45.16%,,$0.00,$0.00
,Buy to Cover,01/10/2019 09:45,Cover,$3713.00,,($21.25),$1313.75,,($21.25),0.00%,-54.84%,$0.00,$0.00
122,Sell Short,02/10/2019 09:00,Es,$3650.50,$0.00,1,$85.00,0.47%,$173.75,94.56%,,$0.00,$0.00
,Buy to Cover,02/10/2019 15:00,EoDS,$3633.50,,$85.00,$1398.75,,($10.00),51.70%,46.26%,$0.00,$0.00
123,Sell Short,08/10/2019 11:00,Es,$3640.50,$0.00,1,($13.75),-0.08%,$8.75,26.92%,,$0.00,$0.00
,Buy to Cover,08/10/2019 11:15,Cover,$3643.25,,($13.75),$1385.00,,($23.75),30.77%,-42.31%,$0.00,$0.00
124,Sell Short,31/10/2019 10:00,Es,$3767.00,$0.00,1,($27.50),-0.15%,$3.75,11.54%,,$0.00,$0.00
,Buy to Cover,31/10/2019 10:15,Cover,$3772.50,,($27.50),$1357.50,,($28.75),3.85%,-84.62%,$0.00,$0.00
125,Sell Short,20/11/2019 12:30,Es,$3835.25,$0.00,1,($52.50),-0.27%,$13.75,20.00%,,$0.00,$0.00
,Buy to Cover,20/11/2019 13:45,Cover,$3845.75,,($52.50),$1305.00,,($55.00),3.64%,-76.36%,$0.00,$0.00
126,Sell Short,02/12/2019 09:00,Es,$3876.00,$0.00,1,$71.25,0.37%,$120.00,93.20%,,$0.00,$0.00
,Buy to Cover,02/12/2019 15:00,EoDS,$3861.75,,$71.25,$1376.25,,($8.75),62.14%,55.34%,$0.00,$0.00
127,Sell Short,03/12/2019 09:00,Es,$3822.00,$0.00,1,($42.50),-0.22%,$53.75,43.43%,,$0.00,$0.00
,Buy to Cover,03/12/2019 15:00,EoDS,$3830.50,,($42.50),$1333.75,,($70.00),22.22%,-34.34%,$0.00,$0.00
128,Sell Short,03/01/2020 09:30,Es,$3975.50,$0.00,1,($5.00),-0.03%,$22.50,66.67%,,$0.00,$0.00
,Buy to Cover,03/01/2020 09:45,Cover,$3976.50,,($5.00),$1328.75,,($11.25),18.52%,-14.81%,$0.00,$0.00
129,Sell Short,24/01/2020 12:45,Es,$4034.75,$0.00,1,$40.00,0.20%,$76.25,80.26%,,$0.00,$0.00
,Buy to Cover,24/01/2020 15:00,EoDS,$4026.75,,$40.00,$1368.75,,($18.75),61.84%,42.11%,$0.00,$0.00
130,Sell Short,27/01/2020 09:00,Es,$3987.25,$0.00,1,$12.50,0.06%,$43.75,48.61%,,$0.00,$0.00
,Buy to Cover,27/01/2020 15:00,EoDS,$3984.75,,$12.50,$1381.25,,($46.25),65.28%,13.89%,$0.00,$0.00
131,Sell Short,30/01/2020 10:00,Es,$3985.00,$0.00,1,($30.00),-0.15%,$25.00,45.45%,,$0.00,$0.00
,Buy to Cover,30/01/2020 10:30,Cover,$3991.00,,($30.00),$1351.25,,($30.00),0.00%,-54.55%,$0.00,$0.00
132,Sell Short,31/01/2020 09:30,Es,$3994.75,$0.00,1,$167.50,0.84%,$216.25,90.10%,,$0.00,$0.00
,Buy to Cover,31/01/2020 15:00,EoDS,$3961.25,,$167.50,$1518.75,,($23.75),79.69%,69.79%,$0.00,$0.00
133,Sell Short,21/02/2020 10:00,Es,$4074.25,$0.00,1,($26.25),-0.13%,$16.25,35.14%,,$0.00,$0.00
,Buy to Cover,21/02/2020 10:15,Cover,$4079.50,,($26.25),$1492.50,,($30.00),8.11%,-56.76%,$0.00,$0.00
134,Sell Short,24/02/2020 09:00,Es,$3993.25,$0.00,1,$105.00,0.53%,$202.50,87.57%,,$0.00,$0.00
,Buy to Cover,24/02/2020 15:00,EoDS,$3972.25,,$105.00,$1597.50,,($28.75),57.84%,45.41%,$0.00,$0.00
135,Sell Short,25/02/2020 11:00,Es,$3923.00,$0.00,1,($55.00),-0.28%,$1.25,1.72%,,$0.00,$0.00
,Buy to Cover,25/02/2020 11:15,Cover,$3934.00,,($55.00),$1542.50,,($71.25),22.41%,-75.86%,$0.00,$0.00
136,Sell Short,27/02/2020 09:45,Es,$3764.25,$0.00,1,($148.75),-0.79%,$96.25,38.89%,,$0.00,$0.00
,Buy to Cover,27/02/2020 10:15,Cover,$3794.00,,($148.75),$1393.75,,($151.25),1.01%,-60.10%,$0.00,$0.00
137,Sell Short,09/03/2020 09:00,Es,$3482.00,$0.00,1,($250.00),-1.44%,$147.50,30.10%,,$0.00,$0.00
,Buy to Cover,09/03/2020 09:15,Stop Loss,$3532.00,,($250.00),$1143.75,,($342.50),18.88%,-51.02%,$0.00,$0.00
138,Sell Short,12/03/2020 09:00,Es,$3278.00,$0.00,1,($206.25),-1.26%,$247.50,50.51%,,$0.00,$0.00
,Buy to Cover,12/03/2020 09:15,Stop Loss,$3319.25,,($206.25),$937.50,,($242.50),7.40%,-42.09%,$0.00,$0.00
139,Sell Short,16/03/2020 09:15,Es,$3185.25,$0.00,1,($160.00),-1.00%,$150.00,48.39%,,$0.00,$0.00
,Buy to Cover,16/03/2020 09:45,Stop Loss,$3217.25,,($160.00),$777.50,,($160.00),0.00%,-51.61%,$0.00,$0.00
140,Sell Short,01/05/2020 10:45,Es,$3585.75,$0.00,1,$68.75,0.38%,$118.75,96.94%,,$0.00,$0.00
,Buy to Cover,01/05/2020 15:00,EoDS,$3572.00,,$68.75,$846.25,,($3.75),59.18%,56.12%,$0.00,$0.00
141,Sell Short,13/05/2020 11:30,Es,$3551.00,$0.00,1,($63.75),-0.36%,$41.25,35.11%,,$0.00,$0.00
,Buy to Cover,13/05/2020 12:15,Cover,$3563.75,,($63.75),$782.50,,($76.25),10.64%,-54.26%,$0.00,$0.00
142,Sell Short,14/05/2020 09:15,Es,$3515.75,$0.00,1,($103.75),-0.59%,$26.25,17.21%,,$0.00,$0.00
,Buy to Cover,14/05/2020 10:00,Cover,$3536.50,,($103.75),$678.75,,($126.25),14.75%,-68.03%,$0.00,$0.00
143,Sell Short,11/06/2020 09:45,Es,$3848.50,$0.00,1,$342.50,1.78%,$342.50,86.71%,,$0.00,$0.00
,Buy to Cover,11/06/2020 13:15,Profit Target,$3780.00,,$342.50,$1021.25,,($52.50),100.00%,86.71%,$0.00,$0.00
144,Sell Short,24/06/2020 10:30,Es,$3809.75,$0.00,1,($17.50),-0.09%,$147.50,80.82%,,$0.00,$0.00
,Buy to Cover,24/06/2020 15:00,EoDS,$3813.25,,($17.50),$1003.75,,($35.00),9.59%,-9.59%,$0.00,$0.00
145,Sell Short,26/06/2020 12:00,Es,$3771.00,$0.00,1,($30.00),-0.16%,$23.75,39.58%,,$0.00,$0.00
,Buy to Cover,26/06/2020 12:15,Cover,$3777.00,,($30.00),$973.75,,($36.25),10.42%,-50.00%,$0.00,$0.00
146,Sell Short,09/07/2020 11:00,Es,$3872.75,$0.00,1,($42.50),-0.22%,$7.50,13.95%,,$0.00,$0.00
,Buy to Cover,09/07/2020 11:15,Cover,$3881.25,,($42.50),$931.25,,($46.25),6.98%,-79.07%,$0.00,$0.00
147,Sell Short,23/07/2020 13:30,Es,$3982.25,$0.00,1,($20.00),-0.10%,$36.25,59.18%,,$0.00,$0.00
,Buy to Cover,23/07/2020 13:45,Cover,$3986.25,,($20.00),$911.25,,($25.00),8.16%,-32.65%,$0.00,$0.00
148,Sell Short,30/07/2020 09:00,Es,$3974.00,$0.00,1,($67.50),-0.34%,$91.25,54.07%,,$0.00,$0.00
,Buy to Cover,30/07/2020 11:00,Cover,$3987.50,,($67.50),$843.75,,($77.50),5.93%,-40.00%,$0.00,$0.00
149,Sell Short,31/07/2020 12:00,Es,$3980.00,$0.00,1,($35.00),-0.18%,$33.75,46.55%,,$0.00,$0.00
,Buy to Cover,31/07/2020 12:45,Cover,$3987.00,,($35.00),$808.75,,($38.75),5.17%,-48.28%,$0.00,$0.00
150,Sell Short,03/09/2020 10:00,Es,$4277.25,$0.00,1,$380.00,1.78%,$380.00,97.75%,,$0.00,$0.00
,Buy to Cover,03/09/2020 14:00,Profit Target,$4201.25,,$380.00,$1188.75,,($8.75),100.00%,97.75%,$0.00,$0.00
151,Sell Short,04/09/2020 09:45,Es,$4152.25,$0.00,1,($60.00),-0.29%,$218.75,77.09%,,$0.00,$0.00
,Buy to Cover,04/09/2020 11:45,Cover,$4164.25,,($60.00),$1128.75,,($65.00),1.76%,-21.15%,$0.00,$0.00
152,Sell Short,08/09/2020 09:00,Es,$4104.25,$0.00,1,($112.50),-0.55%,$31.25,20.49%,,$0.00,$0.00
,Buy to Cover,08/09/2020 09:15,Cover,$4126.75,,($112.50),$1016.25,,($121.25),5.74%,-73.77%,$0.00,$0.00
153,Sell Short,10/09/2020 13:45,Es,$4102.25,$0.00,1,($86.25),-0.42%,$12.50,11.49%,,$0.00,$0.00
,Buy to Cover,10/09/2020 14:15,Cover,$4119.50,,($86.25),$930.00,,($96.25),9.20%,-79.31%,$0.00,$0.00
154,Sell Short,21/09/2020 09:00,Es,$4018.00,$0.00,1,($31.25),-0.16%,$22.50,31.58%,,$0.00,$0.00
,Buy to Cover,21/09/2020 09:15,Cover,$4024.25,,($31.25),$898.75,,($48.75),24.56%,-43.86%,$0.00,$0.00
155,Sell Short,23/09/2020 14:00,Es,$4015.75,$0.00,1,$37.50,0.19%,$98.75,85.87%,,$0.00,$0.00
,Buy to Cover,23/09/2020 15:00,EoDS,$4008.25,,$37.50,$936.25,,($16.25),46.74%,32.61%,$0.00,$0.00
156,Sell Short,26/10/2020 09:45,Es,$4187.00,$0.00,1,$166.25,0.79%,$300.00,100.00%,,$0.00,$0.00
,Buy to Cover,26/10/2020 15:00,EoDS,$4153.75,,$166.25,$1102.50,,$0.00,55.42%,55.42%,$0.00,$0.00
157,Sell Short,28/10/2020 09:00,Es,$4096.50,$0.00,1,$216.25,1.06%,$273.75,95.22%,,$0.00,$0.00
,Buy to Cover,28/10/2020 15:00,EoDS,$4053.25,,$216.25,$1318.75,,($13.75),80.00%,75.22%,$0.00,$0.00
158,Sell Short,30/11/2020 10:00,Es,$4365.50,$0.00,1,($73.75),-0.34%,$11.25,12.68%,,$0.00,$0.00
,Buy to Cover,30/11/2020 10:15,Cover,$4380.25,,($73.75),$1245.00,,($77.50),4.23%,-83.10%,$0.00,$0.00
159,Sell Short,18/12/2020 10:30,Es,$4467.75,$0.00,1,($38.75),-0.17%,$22.50,36.73%,,$0.00,$0.00
,Buy to Cover,18/12/2020 11:30,Cover,$4475.50,,($38.75),$1206.25,,($38.75),0.00%,-63.27%,$0.00,$0.00
160,Sell Short,21/12/2020 09:00,Es,$4442.25,$0.00,1,($75.00),-0.34%,$185.00,53.62%,,$0.00,$0.00
,Buy to Cover,21/12/2020 15:00,EoDS,$4457.25,,($75.00),$1131.25,,($160.00),24.64%,-21.74%,$0.00,$0.00
161,Sell Short,04/01/2021 10:15,Es,$4485.00,$0.00,1,$71.25,0.32%,$262.50,92.11%,,$0.00,$0.00
,Buy to Cover,04/01/2021 15:00,EoDS,$4470.75,,$71.25,$1202.50,,($22.50),32.89%,25.00%,$0.00,$0.00
162,Sell Short,15/01/2021 09:45,Es,$4530.25,$0.00,1,($38.75),-0.17%,$23.75,31.15%,,$0.00,$0.00
,Buy to Cover,15/01/2021 10:00,Cover,$4538.00,,($38.75),$1163.75,,($52.50),18.03%,-50.82%,$0.00,$0.00
163,Sell Short,27/01/2021 09:00,Es,$4548.50,$0.00,1,$182.50,0.80%,$226.25,56.56%,,$0.00,$0.00
,Buy to Cover,27/01/2021 15:00,EoDS,$4512.00,,$182.50,$1346.25,,($173.75),89.06%,45.63%,$0.00,$0.00
164,Sell Short,29/01/2021 09:00,Es,$4521.00,$0.00,1,($71.25),-0.32%,$8.75,8.97%,,$0.00,$0.00
,Buy to Cover,29/01/2021 09:15,Cover,$4535.25,,($71.25),$1275.00,,($88.75),17.95%,-73.08%,$0.00,$0.00
165,Sell Short,23/02/2021 09:00,Es,$4604.50,$0.00,1,($153.75),-0.67%,$98.75,35.91%,,$0.00,$0.00
,Buy to Cover,23/02/2021 10:15,Cover,$4635.25,,($153.75),$1121.25,,($176.25),8.18%,-55.91%,$0.00,$0.00
166,Sell Short,25/02/2021 09:30,Es,$4677.25,$0.00,1,$415.00,1.77%,$415.00,86.68%,,$0.00,$0.00
,Buy to Cover,25/02/2021 14:45,Profit Target,$4594.25,,$415.00,$1536.25,,($63.75),100.00%,86.68%,$0.00,$0.00
167,Sell Short,26/02/2021 09:45,Es,$4567.75,$0.00,1,($162.50),-0.71%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,26/02/2021 10:00,Cover,$4600.25,,($162.50),$1373.75,,($171.25),5.11%,-94.89%,$0.00,$0.00
168,Sell Short,03/03/2021 09:30,Es,$4619.00,$0.00,1,($15.00),-0.06%,$27.50,34.38%,,$0.00,$0.00
,Buy to Cover,03/03/2021 09:45,Cover,$4622.00,,($15.00),$1358.75,,($52.50),46.88%,-18.75%,$0.00,$0.00
169,Sell Short,04/03/2021 12:15,Es,$4552.00,$0.00,1,$28.75,0.13%,$257.50,85.48%,,$0.00,$0.00
,Buy to Cover,04/03/2021 15:00,EoDS,$4546.25,,$28.75,$1387.50,,($43.75),24.07%,9.54%,$0.00,$0.00
170,Sell Short,29/03/2021 09:45,Es,$4724.50,$0.00,1,($43.75),-0.19%,$15.00,22.22%,,$0.00,$0.00
,Buy to Cover,29/03/2021 10:45,Cover,$4733.25,,($43.75),$1343.75,,($52.50),12.96%,-64.81%,$0.00,$0.00
171,Sell Short,22/04/2021 13:15,Es,$4912.00,$0.00,1,($32.50),-0.13%,$35.00,50.00%,,$0.00,$0.00
,Buy to Cover,22/04/2021 13:30,Cover,$4918.50,,($32.50),$1311.25,,($35.00),3.57%,-46.43%,$0.00,$0.00
172,Sell Short,30/04/2021 10:45,Es,$4962.75,$0.00,1,($35.00),-0.14%,$11.25,20.93%,,$0.00,$0.00
,Buy to Cover,30/04/2021 11:15,Cover,$4969.75,,($35.00),$1276.25,,($42.50),13.95%,-65.12%,$0.00,$0.00
173,Sell Short,04/05/2021 09:00,Es,$4942.75,$0.00,1,$46.25,0.19%,$162.50,97.74%,,$0.00,$0.00
,Buy to Cover,04/05/2021 15:00,EoDS,$4933.50,,$46.25,$1322.50,,($3.75),30.08%,27.82%,$0.00,$0.00
174,Sell Short,10/05/2021 13:45,Es,$4991.00,$0.00,1,$11.25,0.05%,$51.25,89.13%,,$0.00,$0.00
,Buy to Cover,10/05/2021 15:00,EoDS,$4988.75,,$11.25,$1333.75,,($6.25),30.43%,19.57%,$0.00,$0.00
175,Sell Short,11/05/2021 09:00,Es,$4931.75,$0.00,1,$26.25,0.11%,$191.25,72.86%,,$0.00,$0.00
,Buy to Cover,11/05/2021 15:00,EoDS,$4926.50,,$26.25,$1360.00,,($71.25),37.14%,10.00%,$0.00,$0.00
176,Sell Short,12/05/2021 09:15,Es,$4904.00,$0.00,1,$255.00,1.04%,$295.00,93.65%,,$0.00,$0.00
,Buy to Cover,12/05/2021 15:00,EoDS,$4853.00,,$255.00,$1615.00,,($20.00),87.30%,80.95%,$0.00,$0.00
177,Sell Short,19/05/2021 09:00,Es,$4865.00,$0.00,1,($52.50),-0.22%,$97.50,62.90%,,$0.00,$0.00
,Buy to Cover,19/05/2021 11:15,Cover,$4875.50,,($52.50),$1562.50,,($57.50),3.23%,-33.87%,$0.00,$0.00
178,Sell Short,03/06/2021 09:00,Es,$4958.75,$0.00,1,($23.75),-0.10%,$20.00,34.04%,,$0.00,$0.00
,Buy to Cover,03/06/2021 09:15,Cover,$4963.50,,($23.75),$1538.75,,($38.75),25.53%,-40.43%,$0.00,$0.00
179,Sell Short,16/06/2021 13:30,Es,$5006.00,$0.00,1,($67.50),-0.27%,$76.25,51.26%,,$0.00,$0.00
,Buy to Cover,16/06/2021 14:30,Cover,$5019.50,,($67.50),$1471.25,,($72.50),3.36%,-45.38%,$0.00,$0.00
180,Sell Short,17/06/2021 11:45,Es,$4988.00,$0.00,1,($42.50),-0.17%,$16.25,24.07%,,$0.00,$0.00
,Buy to Cover,17/06/2021 12:00,Cover,$4996.50,,($42.50),$1428.75,,($51.25),12.96%,-62.96%,$0.00,$0.00
181,Sell Short,18/06/2021 09:00,Es,$4981.25,$0.00,1,$42.50,0.17%,$105.00,92.31%,,$0.00,$0.00
,Buy to Cover,18/06/2021 15:00,EoDS,$4972.75,,$42.50,$1471.25,,($8.75),45.05%,37.36%,$0.00,$0.00
182,Sell Short,08/07/2021 09:00,Es,$5085.75,$0.00,1,($87.50),-0.34%,$31.25,25.00%,,$0.00,$0.00
