

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
245,Sell Short,09/08/2023 10:30,Es,$18040.25,$0.00,1,($31.00),-0.09%,$66.00,65.02%,,$0.00,$0.00
,Buy to Cover,09/08/2023 11:30,Cover,$18055.75,,($31.00),$3692.00,,($35.50),4.43%,-30.54%,$0.00,$0.00
246,Sell Short,24/08/2023 10:30,Es,$17876.50,$0.00,1,($26.50),-0.07%,$142.50,75.80%,,$0.00,$0.00
,Buy to Cover,24/08/2023 12:00,Cover,$17889.75,,($26.50),$3665.50,,($45.50),10.11%,-14.10%,$0.00,$0.00
247,Sell Short,15/09/2023 09:00,Es,$18202.25,$0.00,1,$308.50,0.85%,$359.00,98.09%,,$0.00,$0.00
,Buy to Cover,15/09/2023 15:00,EoDS,$18048.00,,$308.50,$3974.00,,($7.00),86.20%,84.29%,$0.00,$0.00
248,Sell Short,19/09/2023 09:15,Es,$17970.75,$0.00,1,($35.00),-0.10%,$112.50,70.75%,,$0.00,$0.00
,Buy to Cover,19/09/2023 12:30,Cover,$17988.25,,($35.00),$3939.00,,($46.50),7.23%,-22.01%,$0.00,$0.00
249,Sell Short,21/09/2023 09:00,Es,$17648.00,$0.00,1,$161.00,0.46%,$198.50,72.98%,,$0.00,$0.00
,Buy to Cover,21/09/2023 15:00,EoDS,$17567.50,,$161.00,$4100.00,,($73.50),86.21%,59.19%,$0.00,$0.00
250,Sell Short,03/10/2023 13:15,Es,$17363.25,$0.00,1,($20.50),-0.06%,$52.50,66.46%,,$0.00,$0.00
,Buy to Cover,03/10/2023 14:00,Cover,$17373.50,,($20.50),$4079.50,,($26.50),7.59%,-25.95%,$0.00,$0.00
251,Sell Short,13/10/2023 12:45,Es,$17744.25,$0.00,1,($81.50),-0.23%,$32.50,24.34%,,$0.00,$0.00
,Buy to Cover,13/10/2023 13:00,Cover,$17785.00,,($81.50),$3998.00,,($101.00),14.61%,-61.05%,$0.00,$0.00
252,Sell Short,17/10/2023 09:15,Es,$17745.25,$0.00,1,($158.50),-0.45%,$15.50,8.18%,,$0.00,$0.00
,Buy to Cover,17/10/2023 09:30,Cover,$17824.50,,($158.50),$3839.50,,($174.00),8.18%,-83.64%,$0.00,$0.00
253,Sell Short,25/10/2023 09:30,Es,$17281.25,$0.00,1,($49.00),-0.14%,$36.50,24.58%,,$0.00,$0.00
,Buy to Cover,25/10/2023 10:00,Cover,$17305.75,,($49.00),$3790.50,,($112.00),42.42%,-33.00%,$0.00,$0.00
254,Sell Short,26/10/2023 11:30,Es,$16880.50,$0.00,1,($55.00),-0.16%,$156.00,67.39%,,$0.00,$0.00
,Buy to Cover,26/10/2023 13:30,Cover,$16908.00,,($55.00),$3735.50,,($75.50),8.86%,-23.76%,$0.00,$0.00
255,Sell Short,04/12/2023 09:00,Es,$18500.50,$0.00,1,($52.50),-0.14%,$226.50,75.37%,,$0.00,$0.00
,Buy to Cover,04/12/2023 15:00,EoDS,$18526.75,,($52.50),$3683.00,,($74.00),7.15%,-17.47%,$0.00,$0.00
256,Sell Short,02/01/2024 09:00,Es,$19233.75,$0.00,1,$252.00,0.66%,$312.50,93.70%,,$0.00,$0.00
,Buy to Cover,02/01/2024 15:00,EoDS,$19107.75,,$252.00,$3935.00,,($21.00),81.86%,75.56%,$0.00,$0.00
257,Sell Short,03/01/2024 09:30,Es,$19025.25,$0.00,1,($50.50),-0.13%,$52.50,47.73%,,$0.00,$0.00
,Buy to Cover,03/01/2024 10:15,Cover,$19050.50,,($50.50),$3884.50,,($57.50),6.36%,-45.91%,$0.00,$0.00
258,Sell Short,17/01/2024 09:00,Es,$19193.25,$0.00,1,($52.00),-0.14%,$97.50,51.32%,,$0.00,$0.00
,Buy to Cover,17/01/2024 10:00,Cover,$19219.25,,($52.00),$3832.50,,($92.50),21.32%,-27.37%,$0.00,$0.00
259,Sell Short,13/02/2024 09:00,Es,$20098.50,$0.00,1,($198.00),-0.49%,$26.50,11.75%,,$0.00,$0.00
,Buy to Cover,13/02/2024 09:45,Cover,$20197.50,,($198.00),$3634.50,,($199.00),0.44%,-87.80%,$0.00,$0.00
260,Sell Short,20/02/2024 09:45,Es,$19964.25,$0.00,1,($33.50),-0.08%,$53.50,51.94%,,$0.00,$0.00
,Buy to Cover,20/02/2024 10:00,Cover,$19981.00,,($33.50),$3601.00,,($49.50),15.53%,-32.52%,$0.00,$0.00
261,Sell Short,21/02/2024 13:45,Es,$19866.75,$0.00,1,($165.00),-0.42%,$76.50,28.23%,,$0.00,$0.00
,Buy to Cover,21/02/2024 15:00,Cover,$19949.25,,($165.00),$3436.00,,($194.50),10.89%,-60.89%,$0.00,$0.00
262,Sell Short,05/03/2024 09:30,Es,$20455.00,$0.00,1,$250.00,0.61%,$334.00,93.43%,,$0.00,$0.00
,Buy to Cover,05/03/2024 15:00,EoDS,$20330.00,,$250.00,$3686.00,,($23.50),76.50%,69.93%,$0.00,$0.00
263,Sell Short,13/03/2024 10:45,Es,$20527.00,$0.00,1,($25.50),-0.06%,$81.00,69.83%,,$0.00,$0.00
,Buy to Cover,13/03/2024 11:15,Cover,$20539.75,,($25.50),$3660.50,,($35.00),8.19%,-21.98%,$0.00,$0.00
264,Sell Short,15/03/2024 09:00,Es,$20288.50,$0.00,1,($108.50),-0.27%,$108.50,44.11%,,$0.00,$0.00
,Buy to Cover,15/03/2024 10:00,Cover,$20342.75,,($108.50),$3552.00,,($137.50),11.79%,-44.11%,$0.00,$0.00
265,Sell Short,19/03/2024 09:00,Es,$20272.25,$0.00,1,($46.50),-0.11%,$20.00,20.51%,,$0.00,$0.00
,Buy to Cover,19/03/2024 09:15,Cover,$20295.50,,($46.50),$3505.50,,($77.50),31.79%,-47.69%,$0.00,$0.00
266,Sell Short,02/04/2024 09:00,Es,$20445.75,$0.00,1,($169.50),-0.41%,$79.50,29.83%,,$0.00,$0.00
,Buy to Cover,02/04/2024 15:00,EoDS,$20530.50,,($169.50),$3336.00,,($187.00),6.57%,-63.60%,$0.00,$0.00
267,Sell Short,09/04/2024 10:00,Es,$20392.50,$0.00,1,($58.00),-0.14%,$54.50,45.61%,,$0.00,$0.00
,Buy to Cover,09/04/2024 10:15,Cover,$20421.50,,($58.00),$3278.00,,($65.00),5.86%,-48.54%,$0.00,$0.00
268,Sell Short,10/04/2024 09:00,Es,$20395.50,$0.00,1,($30.50),-0.07%,$166.50,66.60%,,$0.00,$0.00
,Buy to Cover,10/04/2024 15:00,EoDS,$20410.75,,($30.50),$3247.50,,($83.50),21.20%,-12.20%,$0.00,$0.00
269,Sell Short,12/04/2024 09:00,Es,$20521.25,$0.00,1,$273.00,0.67%,$392.50,87.91%,,$0.00,$0.00
,Buy to Cover,12/04/2024 15:00,EoDS,$20384.75,,$273.00,$3520.50,,($54.00),73.24%,61.14%,$0.00,$0.00
270,Sell Short,15/04/2024 12:45,Es,$20156.00,$0.00,1,$156.00,0.39%,$219.00,99.10%,,$0.00,$0.00
,Buy to Cover,15/04/2024 15:00,EoDS,$20078.00,,$156.00,$3676.50,,($2.00),71.49%,70.59%,$0.00,$0.00
271,Sell Short,17/04/2024 11:45,Es,$19886.50,$0.00,1,($62.50),-0.16%,$131.00,66.50%,,$0.00,$0.00
,Buy to Cover,17/04/2024 12:45,Cover,$19917.75,,($62.50),$3614.00,,($66.00),1.78%,-31.73%,$0.00,$0.00
272,Sell Short,19/04/2024 11:30,Es,$19431.50,$0.00,1,($114.50),-0.29%,$46.50,27.84%,,$0.00,$0.00
,Buy to Cover,19/04/2024 12:15,Cover,$19488.75,,($114.50),$3499.50,,($120.50),3.59%,-68.56%,$0.00,$0.00
273,Sell Short,31/05/2024 10:00,Es,$20575.25,$0.00,1,($78.50),-0.19%,$258.00,68.80%,,$0.00,$0.00
,Buy to Cover,31/05/2024 14:45,Cover,$20614.50,,($78.50),$3421.00,,($117.00),10.27%,-20.93%,$0.00,$0.00
274,Sell Short,11/07/2024 10:45,Es,$22481.50,$0.00,1,$177.50,0.39%,$320.50,93.03%,,$0.00,$0.00
,Buy to Cover,11/07/2024 15:00,EoDS,$22392.75,,$177.50,$3598.50,,($24.00),58.49%,51.52%,$0.00,$0.00
275,Sell Short,17/07/2024 09:00,Es,$22157.00,$0.00,1,$370.00,0.83%,$428.50,85.19%,,$0.00,$0.00
,Buy to Cover,17/07/2024 15:00,EoDS,$21972.00,,$370.00,$3968.50,,($74.50),88.37%,73.56%,$0.00,$0.00
276,Sell Short,19/07/2024 11:00,Es,$21670.50,$0.00,1,($183.00),-0.42%,$2.50,1.33%,,$0.00,$0.00
,Buy to Cover,19/07/2024 11:15,Cover,$21762.00,,($183.00),$3785.50,,($186.00),1.59%,-97.08%,$0.00,$0.00
277,Sell Short,24/07/2024 09:00,Es,$21486.75,$0.00,1,$534.00,1.24%,$660.00,94.42%,,$0.00,$0.00
,Buy to Cover,24/07/2024 15:00,EoDS,$21219.75,,$534.00,$4319.50,,($39.00),81.97%,76.39%,$0.00,$0.00
278,Sell Short,01/08/2024 13:00,Es,$20876.50,$0.00,1,($175.00),-0.42%,$39.00,17.77%,,$0.00,$0.00
,Buy to Cover,01/08/2024 13:15,Cover,$20964.00,,($175.00),$4144.50,,($180.50),2.51%,-79.73%,$0.00,$0.00
279,Sell Short,02/08/2024 09:30,Es,$20342.00,$0.00,1,($179.00),-0.44%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,02/08/2024 09:45,Cover,$20431.50,,($179.00),$3965.50,,($233.00),23.18%,-76.82%,$0.00,$0.00
280,Sell Short,05/08/2024 09:00,Es,$19720.25,$0.00,1,($397.00),-1.01%,$31.00,7.24%,,$0.00,$0.00
,Buy to Cover,05/08/2024 09:15,Stop Loss,$19918.75,,($397.00),$3568.50,,($397.00),0.00%,-92.76%,$0.00,$0.00
281,Sell Short,03/09/2024 09:00,Es,$21335.00,$0.00,1,$755.50,1.77%,$755.50,92.59%,,$0.00,$0.00
,Buy to Cover,03/09/2024 14:45,Profit Target,$20957.25,,$755.50,$4324.00,,($60.50),100.00%,92.59%,$0.00,$0.00
282,Sell Short,06/09/2024 09:45,Es,$20586.50,$0.00,1,$326.00,0.79%,$425.50,91.70%,,$0.00,$0.00
,Buy to Cover,06/09/2024 15:00,EoDS,$20423.50,,$326.00,$4650.00,,($38.50),78.56%,70.26%,$0.00,$0.00
283,Sell Short,01/10/2024 09:30,Es,$21653.25,$0.00,1,($107.50),-0.25%,$254.00,69.12%,,$0.00,$0.00
,Buy to Cover,01/10/2024 13:15,Cover,$21707.00,,($107.50),$4542.50,,($113.50),1.63%,-29.25%,$0.00,$0.00
284,Sell Short,07/10/2024 14:00,Es,$21755.75,$0.00,1,$158.50,0.36%,$199.00,98.27%,,$0.00,$0.00
,Buy to Cover,07/10/2024 15:00,EoDS,$21676.50,,$158.50,$4701.00,,($3.50),80.00%,78.27%,$0.00,$0.00
285,Sell Short,15/10/2024 10:00,Es,$22097.25,$0.00,1,($64.50),-0.15%,$45.50,27.25%,,$0.00,$0.00
,Buy to Cover,15/10/2024 10:30,Cover,$22129.50,,($64.50),$4636.50,,($121.50),34.13%,-38.62%,$0.00,$0.00
286,Sell Short,23/10/2024 10:30,Es,$22045.25,$0.00,1,$236.50,0.54%,$516.00,91.17%,,$0.00,$0.00
,Buy to Cover,23/10/2024 15:00,EoDS,$21927.00,,$236.50,$4873.00,,($50.00),50.62%,41.78%,$0.00,$0.00
287,Sell Short,30/10/2024 09:00,Es,$22264.50,$0.00,1,($150.00),-0.34%,$23.50,12.74%,,$0.00,$0.00
,Buy to Cover,30/10/2024 09:15,Cover,$22339.50,,($150.00),$4723.00,,($161.00),5.96%,-81.30%,$0.00,$0.00
288,Sell Short,31/10/2024 09:00,Es,$21967.75,$0.00,1,$347.00,0.79%,$503.50,99.70%,,$0.00,$0.00
,Buy to Cover,31/10/2024 15:00,EoDS,$21794.25,,$347.00,$5070.00,,($1.50),69.01%,68.71%,$0.00,$0.00
289,Sell Short,15/11/2024 11:15,Es,$22204.00,$0.00,1,$81.50,0.18%,$181.00,83.80%,,$0.00,$0.00
,Buy to Cover,15/11/2024 15:00,EoDS,$22163.25,,$81.50,$5151.50,,($35.00),53.94%,37.73%,$0.00,$0.00
290,Sell Short,27/11/2024 10:15,Es,$22451.75,$0.00,1,($79.50),-0.18%,$137.00,62.84%,,$0.00,$0.00
,Buy to Cover,27/11/2024 12:30,Cover,$22491.50,,($79.50),$5072.00,,($81.00),0.69%,-36.47%,$0.00,$0.00
291,Sell Short,27/12/2024 09:00,Es,$23103.75,$0.00,1,$136.00,0.29%,$367.00,73.99%,,$0.00,$0.00
,Buy to Cover,27/12/2024 15:00,EoDS,$23035.75,,$136.00,$5208.00,,($129.00),53.43%,27.42%,$0.00,$0.00
292,Sell Short,30/12/2024 09:00,Es,$22754.75,$0.00,1,($251.50),-0.55%,$160.00,37.78%,,$0.00,$0.00
,Buy to Cover,30/12/2024 11:00,Cover,$22880.50,,($251.50),$4956.50,,($263.50),2.83%,-59.39%,$0.00,$0.00
293,Sell Short,07/01/2025 12:00,Es,$22840.75,$0.00,1,($53.00),-0.12%,$64.00,51.82%,,$0.00,$0.00
,Buy to Cover,07/01/2025 12:15,Cover,$22867.25,,($53.00),$4903.50,,($59.50),5.26%,-42.91%,$0.00,$0.00
294,Sell Short,10/01/2025 09:15,Es,$22476.00,$0.00,1,($110.50),-0.25%,$358.50,69.08%,,$0.00,$0.00
,Buy to Cover,10/01/2025 12:45,Cover,$22531.25,,($110.50),$4793.00,,($160.50),9.63%,-21.29%,$0.00,$0.00
295,Sell Short,13/01/2025 09:45,Es,$22142.25,$0.00,1,($270.50),-0.61%,$6.50,2.21%,,$0.00,$0.00
,Buy to Cover,13/01/2025 10:00,Cover,$22277.50,,($270.50),$4522.50,,($287.00),5.62%,-92.16%,$0.00,$0.00
296,Sell Short,27/01/2025 09:00,Es,$22694.25,$0.00,1,$80.50,0.18%,$351.00,54.63%,,$0.00,$0.00
,Buy to Cover,27/01/2025 15:00,EoDS,$22654.00,,$80.50,$4603.00,,($291.50),57.90%,12.53%,$0.00,$0.00
297,Sell Short,03/02/2025 09:00,Es,$22682.25,$0.00,1,($185.00),-0.41%,$294.00,58.74%,,$0.00,$0.00
,Buy to Cover,03/02/2025 09:45,Cover,$22774.75,,($185.00),$4418.00,,($206.50),4.30%,-36.96%,$0.00,$0.00
298,Sell Short,07/02/2025 13:45,Es,$23000.00,$0.00,1,($66.50),-0.14%,$24.00,22.64%,,$0.00,$0.00
,Buy to Cover,07/02/2025 14:00,Cover,$23033.25,,($66.50),$4351.50,,($82.00),14.62%,-62.74%,$0.00,$0.00
299,Sell Short,21/02/2025 12:15,Es,$23274.00,$0.00,1,$355.50,0.76%,$370.50,98.80%,,$0.00,$0.00
,Buy to Cover,21/02/2025 15:00,EoDS,$23096.25,,$355.50,$4707.00,,($4.50),96.00%,94.80%,$0.00,$0.00
300,Sell Short,25/02/2025 09:30,Es,$22564.00,$0.00,1,($193.50),-0.43%,$303.00,52.02%,,$0.00,$0.00
,Buy to Cover,25/02/2025 13:00,Cover,$22660.75,,($193.50),$4513.50,,($279.50),14.76%,-33.22%,$0.00,$0.00
301,Sell Short,27/02/2025 14:00,Es,$22252.25,$0.00,1,$309.50,0.70%,$326.00,83.06%,,$0.00,$0.00
,Buy to Cover,27/02/2025 15:00,EoDS,$22097.50,,$309.50,$4823.00,,($66.50),95.80%,78.85%,$0.00,$0.00
302,Sell Short,10/03/2025 12:30,Es,$20921.50,$0.00,1,$211.50,0.51%,$455.50,81.12%,,$0.00,$0.00
,Buy to Cover,10/03/2025 15:00,EoDS,$20815.75,,$211.50,$5034.50,,($106.00),56.54%,37.67%,$0.00,$0.00
303,Sell Short,26/03/2025 11:15,Es,$21407.75,$0.00,1,$199.00,0.46%,$304.00,86.12%,,$0.00,$0.00
,Buy to Cover,26/03/2025 15:00,EoDS,$21308.25,,$199.00,$5233.50,,($49.00),70.25%,56.37%,$0.00,$0.00
304,Sell Short,28/03/2025 09:30,Es,$20932.00,$0.00,1,$563.50,1.35%,$592.00,98.50%,,$0.00,$0.00
,Buy to Cover,28/03/2025 15:00,EoDS,$20650.25,,$563.50,$5797.00,,($9.00),95.26%,93.76%,$0.00,$0.00
305,Sell Short,31/03/2025 09:00,Es,$20218.50,$0.00,1,($300.50),-0.74%,$54.50,14.27%,,$0.00,$0.00
,Buy to Cover,31/03/2025 09:30,Cover,$20368.75,,($300.50),$5496.50,,($327.50),7.07%,-78.66%,$0.00,$0.00
306,Sell Short,03/04/2025 09:00,Es,$20204.50,$0.00,1,$472.50,1.17%,$596.00,83.18%,,$0.00,$0.00
,Buy to Cover,03/04/2025 15:00,EoDS,$19968.25,,$472.50,$5969.00,,($120.50),82.76%,65.95%,$0.00,$0.00
307,Sell Short,04/04/2025 09:00,Es,$19242.25,$0.00,1,$686.50,1.78%,$686.50,62.15%,,$0.00,$0.00
,Buy to Cover,04/04/2025 10:00,Profit Target,$18899.00,,$686.50,$6655.50,,($418.00),100.00%,62.15%,$0.00,$0.00
308,Sell Short,07/04/2025 09:00,Es,$17969.75,$0.00,1,($1031.00),-2.87%,$106.00,8.91%,,$0.00,$0.00
,Buy to Cover,07/04/2025 09:15,Cover,$18485.25,,($1031.00),$5624.50,,($1083.50),4.41%,-86.68%,$0.00,$0.00
309,Sell Short,10/04/2025 11:30,Es,$19396.50,$0.00,1,($85.50),-0.22%,$527.50,78.32%,,$0.00,$0.00
,Buy to Cover,10/04/2025 12:00,Cover,$19439.25,,($85.50),$5539.00,,($146.00),8.98%,-12.69%,$0.00,$0.00
310,Sell Short,21/04/2025 13:15,Es,$18927.25,$0.00,1,($80.00),-0.21%,$25.50,22.87%,,$0.00,$0.00
,Buy to Cover,21/04/2025 13:45,Cover,$18967.25,,($80.00),$5459.00,,($86.00),5.38%,-71.75%,$0.00,$0.00
311,Sell Short,30/05/2025 11:45,Es,$22390.50,$0.00,1,($119.50),-0.27%,$209.00,60.84%,,$0.00,$0.00
,Buy to Cover,30/05/2025 13:30,Cover,$22450.25,,($119.50),$5339.50,,($134.50),4.37%,-34.79%,$0.00,$0.00
312,Sell Short,13/06/2025 09:30,Es,$22912.25,$0.00,1,($20.00),-0.04%,$160.50,62.09%,,$0.00,$0.00
,Buy to Cover,13/06/2025 10:00,Cover,$22922.25,,($20.00),$5319.50,,($98.00),30.17%,-7.74%,$0.00,$0.00
313,Sell Short,17/06/2025 13:45,Es,$22934.75,$0.00,1,($80.50),-0.18%,$57.50,40.64%,,$0.00,$0.00
,Buy to Cover,17/06/2025 14:15,Cover,$22975.00,,($80.50),$5239.00,,($84.00),2.47%,-56.89%,$0.00,$0.00
314,Sell Short,19/06/2025 09:00,Es,$22720.50,$0.00,1,($704.50),-1.55%,$144.50,17.02%,,$0.00,$0.00
,Buy to Cover,20/06/2025 08:45,Stop Loss,$23072.75,,($704.50),$4534.50,,($704.50),0.00%,-82.98%,$0.00,$0.00
315,Sell Short,20/06/2025 10:15,Es,$22816.00,$0.00,1,($69.50),-0.15%,$84.50,53.31%,,$0.00,$0.00
,Buy to Cover,20/06/2025 10:30,Cover,$22850.75,,($69.50),$4465.00,,($74.00),2.84%,-43.85%,$0.00,$0.00
316,Sell Short,22/07/2025 09:15,Es,$24139.75,$0.00,1,($147.00),-0.30%,$73.50,30.18%,,$0.00,$0.00
,Buy to Cover,22/07/2025 10:00,Cover,$24213.25,,($147.00),$4318.00,,($170.00),9.45%,-60.37%,$0.00,$0.00
317,Sell Short,31/07/2025 12:45,Es,$24451.75,$0.00,1,$87.50,0.18%,$296.00,78.00%,,$0.00,$0.00
,Buy to Cover,31/07/2025 15:00,EoDS,$24408.00,,$87.50,$4405.50,,($83.50),45.06%,23.06%,$0.00,$0.00
318,Sell Short,01/08/2025 09:00,Es,$23917.75,$0.00,1,$69.00,0.14%,$263.00,51.12%,,$0.00,$0.00
,Buy to Cover,01/08/2025 15:00,EoDS,$23883.25,,$69.00,$4474.50,,($251.50),62.29%,13.41%,$0.00,$0.00
319,Sell Short,05/08/2025 11:00,Es,$24143.00,$0.00,1,($89.00),-0.18%,$50.00,30.58%,,$0.00,$0.00
,Buy to Cover,05/08/2025 11:30,Cover,$24187.50,,($89.00),$4385.50,,($113.50),14.98%,-54.43%,$0.00,$0.00
320,Sell Short,19/08/2025 12:15,Es,$24480.50,$0.00,1,($40.50),-0.08%,$74.50,56.23%,,$0.00,$0.00
,Buy to Cover,19/08/2025 13:00,Cover,$24500.75,,($40.50),$4345.00,,($58.00),13.21%,-30.57%,$0.00,$0.00
321,Sell Short,20/08/2025 09:30,Es,$24107.50,$0.00,1,($230.00),-0.48%,$148.50,38.52%,,$0.00,$0.00
,Buy to Cover,20/08/2025 10:45,Cover,$24222.50,,($230.00),$4115.00,,($237.00),1.82%,-59.66%,$0.00,$0.00
322,Sell Short,29/08/2025 09:15,Es,$24517.25,$0.00,1,$82.50,0.17%,$235.50,78.37%,,$0.00,$0.00
,Buy to Cover,29/08/2025 15:00,EoDS,$24476.00,,$82.50,$4197.50,,($65.00),49.08%,27.45%,$0.00,$0.00
323,Sell Short,02/09/2025 09:00,Es,$24148.75,$0.00,1,($221.00),-0.46%,$26.00,9.12%,,$0.00,$0.00
,Buy to Cover,02/09/2025 09:45,Cover,$24259.25,,($221.00),$3976.50,,($259.00),13.33%,-77.54%,$0.00,$0.00
324,Sell Short,25/09/2025 09:00,Es,$25187.75,$0.00,1,($50.00),-0.10%,$6.00,3.06%,,$0.00,$0.00
,Buy to Cover,25/09/2025 09:15,Cover,$25212.75,,($50.00),$3926.50,,($190.00),71.43%,-25.51%,$0.00,$0.00
325,Sell Short,10/10/2025 10:30,Es,$25823.00,$0.00,1,$915.50,1.77%,$915.50,96.72%,,$0.00,$0.00
,Buy to Cover,10/10/2025 12:15,Profit Target,$25365.25,,$915.50,$4842.00,,($31.00),100.00%,96.72%,$0.00,$0.00
326,Sell Short,14/10/2025 09:00,Es,$25212.75,$0.00,1,($508.00),-1.01%,$58.50,10.33%,,$0.00,$0.00
,Buy to Cover,14/10/2025 09:30,Stop Loss,$25466.75,,($508.00),$4334.00,,($508.00),0.00%,-89.67%,$0.00,$0.00
327,Sell Short,16/10/2025 13:30,Es,$25468.75,$0.00,1,($114.00),-0.22%,$130.50,47.11%,,$0.00,$0.00
,Buy to Cover,16/10/2025 14:00,Cover,$25525.75,,($114.00),$4220.00,,($146.50),11.73%,-41.16%,$0.00,$0.00
328,Sell Short,22/10/2025 10:45,Es,$25788.25,$0.00,1,($67.50),-0.13%,$50.00,35.34%,,$0.00,$0.00
,Buy to Cover,22/10/2025 11:00,Cover,$25822.00,,($67.50),$4152.50,,($91.50),16.96%,-47.70%,$0.00,$0.00
329,Sell Short,04/11/2025 12:45,Es,$26386.50,$0.00,1,($49.00),-0.09%,$46.50,46.50%,,$0.00,$0.00
,Buy to Cover,04/11/2025 13:00,Cover,$26411.00,,($49.00),$4103.50,,($53.50),4.50%,-49.00%,$0.00,$0.00
330,Sell Short,06/11/2025 10:15,Es,$26063.00,$0.00,1,($72.00),-0.14%,$9.50,6.55%,,$0.00,$0.00
,Buy to Cover,06/11/2025 10:30,Cover,$26099.00,,($72.00),$4031.50,,($135.50),43.79%,-49.66%,$0.00,$0.00
331,Sell Short,07/11/2025 10:00,Es,$25630.00,$0.00,1,($98.50),-0.19%,$321.50,75.83%,,$0.00,$0.00
,Buy to Cover,07/11/2025 12:45,Cover,$25679.25,,($98.50),$3933.00,,($102.50),0.94%,-23.23%,$0.00,$0.00
332,Sell Short,13/11/2025 09:00,Es,$26052.75,$0.00,1,($179.00),-0.34%,$23.50,8.56%,,$0.00,$0.00
,Buy to Cover,13/11/2025 09:15,Cover,$26142.25,,($179.00),$3754.00,,($251.00),26.23%,-65.21%,$0.00,$0.00
333,Sell Short,18/11/2025 09:15,Es,$25282.75,$0.00,1,($46.50),-0.09%,$185.00,51.32%,,$0.00,$0.00
,Buy to Cover,18/11/2025 09:45,Cover,$25306.00,,($46.50),$3707.50,,($175.50),35.78%,-12.90%,$0.00,$0.00
334,Sell Short,20/11/2025 13:15,Es,$25038.75,$0.00,1,($138.00),-0.28%,$148.00,44.18%,,$0.00,$0.00
,Buy to Cover,20/11/2025 13:45,Cover,$25107.75,,($138.00),$3569.50,,($187.00),14.63%,-41.19%,$0.00,$0.00
335,Sell Short,12/12/2025 09:30,Es,$26198.00,$0.00,1,$511.50,0.98%,$640.00,94.40%,,$0.00,$0.00
,Buy to Cover,12/12/2025 15:00,EoDS,$25942.25,,$511.50,$4081.00,,($38.00),81.05%,75.44%,$0.00,$0.00
336,Sell Short,17/12/2025 10:15,Es,$25562.75,$0.00,1,$180.50,0.35%,$272.50,68.04%,,$0.00,$0.00
,Buy to Cover,17/12/2025 15:00,EoDS,$25472.50,,$180.50,$4261.50,,($128.00),77.03%,45.07%,$0.00,$0.00
337,Sell Short,08/01/2026 09:15,Es,$26107.50,$0.00,1,($149.00),-0.29%,$67.50,29.87%,,$0.00,$0.00
,Buy to Cover,08/01/2026 09:30,Cover,$26182.00,,($149.00),$4112.50,,($158.50),4.20%,-65.93%,$0.00,$0.00
338,Sell Short,14/01/2026 09:00,Es,$26136.00,$0.00,1,$90.00,0.17%,$421.00,76.89%,,$0.00,$0.00
,Buy to Cover,14/01/2026 15:00,EoDS,$26091.00,,$90.00,$4202.50,,($126.50),39.54%,16.44%,$0.00,$0.00
339,Sell Short,19/01/2026 09:00,Es,$25750.25,$0.00,1,$251.00,0.49%,$284.00,43.56%,,$0.00,$0.00
,Buy to Cover,20/01/2026 15:00,EoDS,$25624.75,,$251.00,$4453.50,,($368.00),94.94%,38.50%,$0.00,$0.00
340,Sell Short,29/01/2026 09:15,Es,$26368.50,$0.00,1,($114.50),-0.22%,$656.50,83.95%,,$0.00,$0.00
,Buy to Cover,29/01/2026 15:00,EoDS,$26425.75,,($114.50),$4339.00,,($125.50),1.41%,-14.64%,$0.00,$0.00
341,Sell Short,30/01/2026 11:30,Es,$26207.25,$0.00,1,($158.50),-0.30%,$28.50,14.11%,,$0.00,$0.00
,Buy to Cover,30/01/2026 11:45,Cover,$26286.50,,($158.50),$4180.50,,($173.50),7.43%,-78.47%,$0.00,$0.00
342,Sell Short,03/02/2026 09:30,Es,$26058.25,$0.00,1,($126.50),-0.24%,$167.50,51.86%,,$0.00,$0.00
,Buy to Cover,03/02/2026 10:15,Cover,$26121.50,,($126.50),$4054.00,,($155.50),8.98%,-39.16%,$0.00,$0.00
343,Sell Short,04/02/2026 10:15,Es,$25656.50,$0.00,1,$174.50,0.34%,$736.50,95.03%,,$0.00,$0.00
,Buy to Cover,04/02/2026 15:00,EoDS,$25569.25,,$174.50,$4228.50,,($38.50),27.48%,22.52%,$0.00,$0.00
344,Sell Short,05/02/2026 09:30,Es,$25063.75,$0.00,1,($441.00),-0.88%,$45.00,9.12%,,$0.00,$0.00
,Buy to Cover,05/02/2026 10:45,Cover,$25284.25,,($441.00),$3787.50,,($448.50),1.52%,-89.36%,$0.00,$0.00
345,Sell Short,12/02/2026 10:45,Es,$25323.25,$0.00,1,($113.00),-0.22%,$27.00,11.79%,,$0.00,$0.00
,Buy to Cover,12/02/2026 11:00,Cover,$25379.75,,($113.00),$3674.50,,($202.00),38.86%,-49.34%,$0.00,$0.00
346,Sell Short,23/02/2026 10:00,Es,$25333.00,$0.00,1,$196.50,0.39%,$322.00,87.26%,,$0.00,$0.00
,Buy to Cover,23/02/2026 15:00,EoDS,$25234.75,,$196.50,$3871.00,,($47.00),65.99%,53.25%,$0.00,$0.00
347,Sell Short,26/02/2026 09:30,Es,$25571.50,$0.00,1,$3.00,0.01%,$410.50,86.60%,,$0.00,$0.00
