

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Largest Profit/Loss,,$5275.00,($5965.00),
Largest Profit/Loss as % of Gross,,6.15%,8.98%,
Largest Consec. Profit/Loss,,$9400.00,($12730.00),
Largest Consec. Profit/Loss as % of Gross,,10.97%,19.16%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,58,$273.10,($332.33),
2,23,$473.80,($298.41),
3,13,$514.23,($385.77),
4,6,$179.38,($92.50),
5,1,$1880.00,($2530.00),
6,2,$503.33,($120.00),
8,3,$249.79,($180.00),
10,1,$228.50,($45.00),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,60,($300.17),$351.17,
2,21,($508.81),$491.67,
3,12,($129.31),$140.83,
4,7,($163.39),$143.57,
5,2,($106.50),$57.50,
6,4,($698.75),$453.75,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Buy,08/07/2016 14:01,Buy,$2115.0,$0.00,5,$410.00,0.39%,$460.00,85.98%,,$0.00,$0.00
,Sell,10/07/2016 18:05,Sell,$2123.2,,$410.00,$410.00,,($75.00),90.65%,76.64%,$0.00,$0.00
2,Buy,22/07/2016 14:02,Buy,$2076.7,$0.00,5,$755.00,0.73%,$925.00,59.87%,,$0.00,$0.00
,Sell,27/07/2016 18:06,Sell#2,$2091.8,,$755.00,$1165.00,,($620.00),89.00%,48.87%,$0.00,$0.00
3,Buy,05/08/2016 14:12,Buy,$2089.7,$0.00,5,($215.00),-0.21%,$50.00,12.66%,,$0.00,$0.00
,Sell,07/08/2016 18:05,Sell,$2085.4,,($215.00),$950.00,,($345.00),32.91%,-54.43%,$0.00,$0.00
4,Buy,12/08/2016 14:07,Buy,$2089.1,$0.00,5,($25.00),-0.02%,$20.00,10.00%,,$0.00,$0.00
,Sell,14/08/2016 18:05,Sell,$2088.6,,($25.00),$925.00,,($180.00),77.50%,-12.50%,$0.00,$0.00
5,Buy,02/09/2016 14:02,Buy,$2071.2,$0.00,5,$1385.00,1.34%,$1580.00,100.00%,,$0.00,$0.00
,Sell,06/09/2016 18:08,Sell#2,$2098.9,,$1385.00,$2310.00,,$0.00,87.66%,87.66%,$0.00,$0.00
6,Buy,16/09/2016 14:01,Buy,$2056.4,$0.00,5,$120.00,0.12%,$185.00,88.10%,,$0.00,$0.00
,Sell,18/09/2016 18:05,Sell,$2058.8,,$120.00,$2430.00,,($25.00),69.05%,57.14%,$0.00,$0.00
7,Buy,30/09/2016 14:01,Buy,$2063.3,$0.00,5,($145.00),-0.14%,$235.00,46.08%,,$0.00,$0.00
,Sell,03/10/2016 18:06,Sell#2,$2060.4,,($145.00),$2285.00,,($275.00),25.49%,-28.43%,$0.00,$0.00
8,Buy,07/10/2016 14:01,Buy,$2001.5,$0.00,5,$215.00,0.21%,$215.00,55.13%,,$0.00,$0.00
,Sell,09/10/2016 18:06,Sell,$2005.8,,$215.00,$2500.00,,($175.00),100.00%,55.13%,$0.00,$0.00
9,Buy,28/10/2016 14:01,Buy,$2029.7,$0.00,5,($210.00),-0.21%,$65.00,13.83%,,$0.00,$0.00
,Sell,30/10/2016 18:05,Sell,$2025.5,,($210.00),$2290.00,,($405.00),41.49%,-44.68%,$0.00,$0.00
10,Buy,04/11/2016 14:01,Buy,$2047.8,$0.00,5,($425.00),-0.42%,$205.00,27.89%,,$0.00,$0.00
,Sell,06/11/2016 18:05,Sell,$2039.3,,($425.00),$1865.00,,($530.00),14.29%,-57.82%,$0.00,$0.00
11,Buy,16/12/2016 14:01,Buy,$1880.7,$0.00,5,($170.00),-0.18%,$325.00,39.16%,,$0.00,$0.00
,Sell,20/12/2016 18:05,Sell#2,$1877.3,,($170.00),$1695.00,,($505.00),40.36%,-20.48%,$0.00,$0.00
