

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
7,5,($302.00),$1927.00,
8,4,($274.38),$1365.00,
9,2,($1439.17),$4175.00,
10,3,($261.50),$1161.67,
11,1,($258.64),$215.00,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Sell Short,13/07/2016 11:00,SE,$8116.00,$0.00,1,($90.00),-0.06%,$45.00,29.03%,,$0.00,$0.00
,Buy to Cover,13/07/2016 11:15,SXlivS,$8120.50,,($90.00),($90.00),,($110.00),12.90%,-58.06%,$0.00,$0.00
2,Sell Short,14/07/2016 12:45,SE,$8134.50,$0.00,1,($85.00),-0.05%,$5.00,5.26%,,$0.00,$0.00
,Buy to Cover,14/07/2016 13:00,SXlivS,$8138.75,,($85.00),($175.00),,($90.00),5.26%,-89.47%,$0.00,$0.00
3,Sell Short,15/07/2016 11:15,SE,$8133.75,$0.00,1,($50.00),-0.03%,$125.00,60.98%,,$0.00,$0.00
,Buy to Cover,15/07/2016 12:45,SXlivS,$8136.25,,($50.00),($225.00),,($80.00),14.63%,-24.39%,$0.00,$0.00
4,Sell Short,21/07/2016 14:30,SE,$8183.25,$0.00,1,($110.00),-0.07%,$15.00,11.54%,,$0.00,$0.00
,Buy to Cover,21/07/2016 14:45,SXlivS,$8188.75,,($110.00),($335.00),,($115.00),3.85%,-84.62%,$0.00,$0.00
5,Sell Short,25/07/2016 11:45,SE,$8201.50,$0.00,1,($50.00),-0.03%,$50.00,38.46%,,$0.00,$0.00
,Buy to Cover,25/07/2016 12:15,SXlivS,$8204.00,,($50.00),($385.00),,($80.00),23.08%,-38.46%,$0.00,$0.00
6,Sell Short,26/07/2016 10:15,SE,$8199.00,$0.00,1,($170.00),-0.10%,$60.00,24.49%,,$0.00,$0.00
,Buy to Cover,26/07/2016 10:45,SXlivS,$8207.50,,($170.00),($555.00),,($185.00),6.12%,-69.39%,$0.00,$0.00
7,Sell Short,27/07/2016 11:30,SE,$8238.25,$0.00,1,($150.00),-0.09%,$10.00,4.88%,,$0.00,$0.00
,Buy to Cover,27/07/2016 13:15,SXlivS,$8245.75,,($150.00),($705.00),,($195.00),21.95%,-73.17%,$0.00,$0.00
8,Sell Short,02/08/2016 09:30,SE,$8277.50,$0.00,1,$110.00,0.07%,$815.00,100.00%,,$0.00,$0.00
,Buy to Cover,02/08/2016 15:00,SXeoS,$8272.00,,$110.00,($595.00),,$0.00,13.50%,13.50%,$0.00,$0.00
9,Sell Short,10/08/2016 09:15,SE,$8340.00,$0.00,1,($95.00),-0.06%,$10.00,6.45%,,$0.00,$0.00
,Buy to Cover,10/08/2016 09:30,SXlivS,$8344.75,,($95.00),($690.00),,($145.00),32.26%,-61.29%,$0.00,$0.00
10,Sell Short,16/08/2016 09:00,SE,$8354.50,$0.00,1,($125.00),-0.07%,$50.00,23.26%,,$0.00,$0.00
,Buy to Cover,16/08/2016 09:15,SXlivS,$8360.75,,($125.00),($815.00),,($165.00),18.60%,-58.14%,$0.00,$0.00
11,Sell Short,17/08/2016 09:00,SE,$8339.00,$0.00,1,($210.00),-0.13%,$240.00,48.98%,,$0.00,$0.00
,Buy to Cover,17/08/2016 12:15,SXlivS,$8349.50,,($210.00),($1025.00),,($250.00),8.16%,-42.86%,$0.00,$0.00
12,Sell Short,19/08/2016 09:00,SE,$8346.25,$0.00,1,($5.00),0.00%,$125.00,71.43%,,$0.00,$0.00
,Buy to Cover,19/08/2016 09:30,SXlivS,$8346.50,,($5.00),($1030.00),,($50.00),25.71%,-2.86%,$0.00,$0.00
13,Sell Short,22/08/2016 10:45,SE,$8348.75,$0.00,1,($60.00),-0.04%,$50.00,35.71%,,$0.00,$0.00
,Buy to Cover,22/08/2016 11:15,SXlivS,$8351.75,,($60.00),($1090.00),,($90.00),21.43%,-42.86%,$0.00,$0.00
14,Sell Short,24/08/2016 10:15,SE,$8364.25,$0.00,1,($10.00),-0.01%,$55.00,57.89%,,$0.00,$0.00
,Buy to Cover,24/08/2016 10:45,SXlivS,$8364.75,,($10.00),($1100.00),,($40.00),31.58%,-10.53%,$0.00,$0.00
15,Sell Short,30/08/2016 10:00,SE,$8330.75,$0.00,1,$65.00,0.04%,$320.00,77.11%,,$0.00,$0.00
,Buy to Cover,30/08/2016 15:00,SXeoS,$8327.50,,$65.00,($1035.00),,($95.00),38.55%,15.66%,$0.00,$0.00
16,Sell Short,31/08/2016 11:30,SE,$8315.75,$0.00,1,($35.00),-0.02%,$185.00,77.08%,,$0.00,$0.00
,Buy to Cover,31/08/2016 12:45,SXlivS,$8317.50,,($35.00),($1070.00),,($55.00),8.33%,-14.58%,$0.00,$0.00
17,Sell Short,01/09/2016 09:45,SE,$8315.25,$0.00,1,($390.00),-0.23%,$215.00,32.33%,,$0.00,$0.00
,Buy to Cover,01/09/2016 11:45,SXlivS,$8334.75,,($390.00),($1460.00),,($450.00),9.02%,-58.65%,$0.00,$0.00
18,Sell Short,02/09/2016 11:45,SE,$8345.25,$0.00,1,($65.00),-0.04%,$195.00,68.42%,,$0.00,$0.00
,Buy to Cover,02/09/2016 14:00,SXlivS,$8348.50,,($65.00),($1525.00),,($90.00),8.77%,-22.81%,$0.00,$0.00
19,Sell Short,05/09/2016 09:30,SE,$8339.50,$0.00,1,($20.00),-0.01%,$45.00,69.23%,,$0.00,$0.00
,Buy to Cover,05/09/2016 10:00,SXlivS,$8340.50,,($20.00),($1545.00),,($20.00),0.00%,-30.77%,$0.00,$0.00
